PartijNummer,Partijen,Avelgem,Spiere-Helkijn,Totalen
13,N-VA,4265,3639,3073,6051,2362,5854,2611,6139,33994,
15,CD&V,2060,1816,1058,2928,1228,3056,1294,2661,16101,
17,PVDA+,173,203,259,389,134,366,125,596,2245,
29,R.O.S.S.E.M.,12,14,10,24,6,30,10,24,130,
30,VCP,4,4,3,4,3,6,0,12,36,
32,ROEL,12,8,7,2,2,8,7,27,73,
33,MAMA,22,29,23,36,13,45,8,48,224,
34,Piratenpartij,59,65,52,80,29,102,24,123,534,
35,GENOEG,26,24,18,36,7,39,12,40,202,
,Totalen9893,8871,6758,14598,5812,14471,6141,16668,83212,
,12021 - Kanton Lier
,
PartijNummer,Partijen,Berlaar,Lier,Totalen
2,Groen,675,2434,3109,
3,Vlaams Belang,544,1789,2333,
7,OpenVld,709,2673,3382,
12,sp.a,935,2696,3631,
13,N-VA,2722,8442,11164,
15,CD&V,1892,4463,6355,
17,PVDA+,172,623,795,
29,R.O.S.S.E.M.,28,55,83,
30,VCP,2,13,15,
32,ROEL,22,17,39,
33,MAMA,22,68,90,
34,Piratenpartij,55,195,250,
35,GENOEG,24,66,90,
,Totalen7802,23534,31336,
,12025 - Kanton Mechelen
,
PartijNummer,Partijen,Mechelen,Willebroek,Totalen
2,Groen,6068,1157,7225,
3,Vlaams Belang,3234,1004,4238,
7,OpenVld,8393,1326,9719,
12,sp.a,7775,3658,11433,
13,N-VA,15269,5502,20771,
15,CD&V,8318,2790,11108,
17,PVDA+,2335,462,2797,
29,R.O.S.S.E.M.,127,40,167,
30,VCP,25,1,26,
32,ROEL,50,20,70,
33,MAMA,101,27,128,
34,Piratenpartij,333,68,401,
35,GENOEG,145,43,188,
,Totalen52173,16098,68271,
,13025 - Kanton Mol
,
PartijNummer,Partijen,Balen,Geel,Meerhout,Mol,Totalen
2,Groen,729,2051,406,1621,4807,
3,Vlaams Belang,1172,1685,545,1392,4794,
7,OpenVld,1189,2052,777,1900,5918,
12,sp.a,1889,2632,875,2965,8361,
13,N-VA,5778,9290,2288,8719,26075,
15,CD&V,3201,6903,1724,5495,17323,
17,PVDA+,377,812,151,644,1984,
29,R.O.S.S.E.M.,46,69,22,73,210,
30,VCP,3,18,8,16,45,
32,ROEL,20,28,14,39,101,
33,MAMA,32,59,17,68,176,
34,Piratenpartij,78,172,37,108,395,
35,GENOEG,79,96,27,88,290,
,Totalen14593,25867,6891,23128,70479,
,12030 - Kanton Puurs
,
PartijNummer,Partijen,Bornem,Puurs,Sint-Amands,Totalen
2,Groen,1061,810,387,2258
3,Vlaams Belang,887,717,302,1906
7,OpenVld,1191,919,513,2623
12,sp.a,1597,820,640,3057
13,N-VA,4380,3581,1703,9664
15,CD&V,4944,4809,1878,11631
17,PVDA+,482,221,108,811
29,R.O.S.S.E.M.,27,17,15,59
30,VCP,7,10,4,21
32,ROEL,15,8,1,24
33,MAMA,30,20,15,65
34,Piratenpartij,84,41,24,149
35,GENOEG,36,25,15,76
,Totalen14741,11998,5605,32344
,13040 - Kanton Turnhout
,
PartijNummer,Partijen,Beerse,Oud-Turnhout,Turnhout,Vosselaar,Totalen
2,Groen,766,723,3240,674,5403,
3,Vlaams Belang,936,581,1953,460,3930,
7,OpenVld,927,645,1897,658,4127,
12,sp.a,828,744,3652,615,5839,
13,N-VA,4940,3158,8439,2945,19482,
15,CD&V,2842,2170,5439,1827,12278,
17,PVDA+,233,131,918,152,1434,
29,R.O.S.S.E.M.,34,10,64,19,127,
30,VCP,6,7,23,2,38,
32,ROEL,17,6,27,7,57,
33,MAMA,32,12,77,14,135,
34,Piratenpartij,67,45,175,61,348,
35,GENOEG,32,16,90,21,159,
,Totalen11660,8248,25994,7455,53357,
,13049 - Kanton Westerlo
,
